Ckey,Symph_Bar,Call_Num,Title,Druid,Purl
9938581,36105216601968,G3931 .J3 S100 .U53 MAP C18,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",dv405kd3553,https://purl.stanford.edu/dv405kd3553
9938581,36105216601950,G3931 .J3 S100 .U53 MAP C19,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",ym637bb1008,https://purl.stanford.edu/ym637bb1008
9938581,36105216601943,G3931 .J3 S100 .U53 MAP C20,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",nt923dr0380,https://purl.stanford.edu/nt923dr0380
9938581,36105216601935,G3931 .J3 S100 .U53 MAP C21,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",yt080tp7163,https://purl.stanford.edu/yt080tp7163
9938581,36105216601927,G3931 .J3 S100 .U53 MAP C22,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",cq639vc0960,https://purl.stanford.edu/cq639vc0960
9938581,36105216601919,G3931 .J3 S100 .U53 MAP C23,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",rd471cd3796,https://purl.stanford.edu/rd471cd3796
9938581,36105216601901,G3931 .J3 S100 .U53 MAP C24,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",gm786hw8955,https://purl.stanford.edu/gm786hw8955
9938581,36105216601893,G3931 .J3 S100 .U53 MAP C25,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",sn494fy4545,https://purl.stanford.edu/sn494fy4545
9938581,36105216601885,G3931 .J3 S100 .U53 MAP C26,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",qp979vk6200,https://purl.stanford.edu/qp979vk6200
9938581,36105216601877,G3931 .J3 S100 .U53 MAP C27,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",df106ss3112,https://purl.stanford.edu/df106ss3112
9938581,36105216601869,G3931 .J3 S100 .U53 MAP C28,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",xq411yy4901,https://purl.stanford.edu/xq411yy4901
9938581,36105216601851,G3931 .J3 S100 .U53 MAP C29,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",cj945bj9807,https://purl.stanford.edu/cj945bj9807
9938581,36105216601844,G3931 .J3 S100 .U53 MAP C30,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",km491hn9847,https://purl.stanford.edu/km491hn9847
9938581,36105216601836,G3931 .J3 S100 .U53 MAP C31,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",fk483dh5299,https://purl.stanford.edu/fk483dh5299
9938581,36105216601828,G3931 .J3 S100 .U53 MAP C32,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",fr132pg4970,https://purl.stanford.edu/fr132pg4970
9938581,36105216601810,G3931 .J3 S100 .U53 MAP C33,"Florida ecological atlas: soils and landforms -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",mb939ky3413,https://purl.stanford.edu/mb939ky3413
