"Druid","Purl","Title","Catkey","Barcode"
"sd520rn6371","https://purl.stanford.edu/sd520rn6371","Tunisia 1:100,000","2849295","36105118307797"
"sh997tq9032","https://purl.stanford.edu/sh997tq9032","Tunisia 1:100,000","2849295","36105118307664"
"sm378hx6304","https://purl.stanford.edu/sm378hx6304","Tunisia 1:100,000","2849295","36105028403322"
"sz292bh8663","https://purl.stanford.edu/sz292bh8663","Tunisia 1:100,000","2849295","36105028403314"
"tf515bq0976","https://purl.stanford.edu/tf515bq0976","Tunisia 1:100,000","2849295","36105028403835"
"tn863qc6592","https://purl.stanford.edu/tn863qc6592","Tunisia 1:100,000","2849295","36105028403918"
"tx055pt8787","https://purl.stanford.edu/tx055pt8787","Tunisia 1:100,000","2849295","36105028403629"
"ty947fp7890","https://purl.stanford.edu/ty947fp7890","Tunisia 1:100,000","2849295","36105028403470"
"vb125pz9571","https://purl.stanford.edu/vb125pz9571","Tunisia 1:100,000","2849295","36105028403124"
"vh409xm2072","https://purl.stanford.edu/vh409xm2072","Tunisia 1:100,000","2849295","36105118307706"
"vn608rm1405","https://purl.stanford.edu/vn608rm1405","Tunisia 1:100,000","2849295","36105118386635"
"vp776tt3663","https://purl.stanford.edu/vp776tt3663","Tunisia 1:100,000","2849295","36105028403553"
"vq734dw4264","https://purl.stanford.edu/vq734dw4264","Tunisia 1:100,000","2849295","36105028403017"
"vz466qf6525","https://purl.stanford.edu/vz466qf6525","Tunisia 1:100,000","2849295","36105118307458"
"wc707fb7276","https://purl.stanford.edu/wc707fb7276","Tunisia 1:100,000","2849295","36105028403447"
"wr616kx2726","https://purl.stanford.edu/wr616kx2726","Tunisia 1:100,000","2849295","36105118307482"
"wx262jk3463","https://purl.stanford.edu/wx262jk3463","Tunisia 1:100,000","2849295","36105028402993"
"xg516yp4884","https://purl.stanford.edu/xg516yp4884","Tunisia 1:100,000","2849295","36105118307896"
"xp711xp4484","https://purl.stanford.edu/xp711xp4484","Tunisia 1:100,000","2849295","36105028403371"
"xs990ws9257","https://purl.stanford.edu/xs990ws9257","Tunisia 1:100,000","2849295","36105028403033"
"xt249zj4739","https://purl.stanford.edu/xt249zj4739","Tunisia 1:100,000","2849295","36105028403934"
"yc035jc5731","https://purl.stanford.edu/yc035jc5731","Tunisia 1:100,000","2849295","36105028403058"
"yq562xg0703","https://purl.stanford.edu/yq562xg0703","Tunisia 1:100,000","2849295","36105028403538"
"yr534gn8452","https://purl.stanford.edu/yr534gn8452","Tunisia 1:100,000","2849295","36105028403744"
"zb600tc5414","https://purl.stanford.edu/zb600tc5414","Tunisia 1:100,000","2849295","36105028403231"
"zc558xh3098","https://purl.stanford.edu/zc558xh3098","Tunisia 1:100,000","2849295","36105028403801"
"zq277bk6111","https://purl.stanford.edu/zq277bk6111","Tunisia 1:100,000","2849295","36105028403413"
"zr559nr2108","https://purl.stanford.edu/zr559nr2108","Tunisia 1:100,000","2849295","36105028403983"
"zr820ct0577","https://purl.stanford.edu/zr820ct0577","Tunisia 1:100,000","2849295","36105118386692"
"zy940rm8040","https://purl.stanford.edu/zy940rm8040","Tunisia 1:100,000","2849295","36105118307748"
