Ckey,Call_Num,Symph_Bar,Druid,Purl,Title
2849295,G8250 S100.G7 SHEET 62,36105118307680,bd153bm2674,https://purl.stanford.edu/bd153bm2674,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 76,36105028403108,bp254zm0246,https://purl.stanford.edu/bp254zm0246,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 51,36105118307417,br249th4173,https://purl.stanford.edu/br249th4173,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 117,36105028403785,bs820sg9596,https://purl.stanford.edu/bs820sg9596,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 37,36105118307953,bz964xf2415,https://purl.stanford.edu/bz964xf2415,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 67,36105028402951,cc956dv3986,https://purl.stanford.edu/cc956dv3986,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 101,36105028403645,cd590cp9918,https://purl.stanford.edu/cd590cp9918,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 55,36105118307573,cf888jx4954,https://purl.stanford.edu/cf888jx4954,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 35,36105118307987,cg257vb7817,https://purl.stanford.edu/cg257vb7817,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 59,36105118307722,ch234vx2461,https://purl.stanford.edu/ch234vx2461,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 97,36105028403579,cp396wt2828,https://purl.stanford.edu/cp396wt2828,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 66,36105028402977,cy470gq2094,https://purl.stanford.edu/cy470gq2094,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 41,36105118307813,cy877cb3368,https://purl.stanford.edu/cy877cb3368,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 80,36105028403207,cz155tx7144,https://purl.stanford.edu/cz155tx7144,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 26,36105118386700,dd989bs1936,https://purl.stanford.edu/dd989bs1936,"Tunisia 1:100,000"
2849295,G8250 S100.G7 SHEET 106,36105028403884,df603bp0225,https://purl.stanford.edu/df603bp0225,"Tunisia 1:100,000"
