Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8431-I,36105024048915,zh289rb6610,https://purl.stanford.edu/zh289rb6610,Fujian sheng
4540802,G7823 .F8 S50 .C51 8431-II,36105024048857,ky759jk5188,https://purl.stanford.edu/ky759jk5188,Fujian sheng
4540802,G7823 .F8 S50 .C51 8431-III,36105024048865,tt289vs7180,https://purl.stanford.edu/tt289vs7180,Fujian sheng
4540802,G7823 .F8 S50 .C51 8431-IV,36105024048873,gm046zw1277,https://purl.stanford.edu/gm046zw1277,Fujian sheng
4540802,G7823 .F8 S50 .C51 8432-I,36105024048774,cx763gr9307,https://purl.stanford.edu/cx763gr9307,Fujian sheng
4540802,G7823 .F8 S50 .C51 8432-II,36105024048782,gv782dn7732,https://purl.stanford.edu/gv782dn7732,Fujian sheng
4540802,G7823 .F8 S50 .C51 8432-III,36105024048790,sn168xb7596,https://purl.stanford.edu/sn168xb7596,Fujian sheng
4540802,G7823 .F8 S50 .C51 8432-IV,36105023908341,zk173vq0056,https://purl.stanford.edu/zk173vq0056,Fujian sheng
4540802,G7823 .F8 S50 .C51 8526-I,36105023908382,kv518tf9687,https://purl.stanford.edu/kv518tf9687,Fujian sheng
4540802,G7823 .F8 S50 .C51 8526-III,36105023908416,th375hg0274,https://purl.stanford.edu/th375hg0274,Fujian sheng
4540802,G7823 .F8 S50 .C51 8526-IV,36105023908424,bx633pd7114,https://purl.stanford.edu/bx633pd7114,Fujian sheng
4540802,G7823 .F8 S50 .C51 8527-I,36105023908432,tj999rf2996,https://purl.stanford.edu/tj999rf2996,Fujian sheng
4540802,G7823 .F8 S50 .C51 8527-II,36105023908440,sn750ch9034,https://purl.stanford.edu/sn750ch9034,Fujian sheng
4540802,G7823 .F8 S50 .C51 8527-III,36105023908580,mj283fm6771,https://purl.stanford.edu/mj283fm6771,Fujian sheng
4540802,G7823 .F8 S50 .C51 8527-IV,36105023908572,tr785cp4620,https://purl.stanford.edu/tr785cp4620,Fujian sheng
4540802,G7823 .F8 S50 .C51 8528-I,36105023908358,gw918bg5241,https://purl.stanford.edu/gw918bg5241,Fujian sheng
4540802,G7823 .F8 S50 .C51 8528-II,36105023908366,mq692nj9638,https://purl.stanford.edu/mq692nj9638,Fujian sheng
4540802,G7823 .F8 S50 .C51 8528-III,36105023908333,qb811cv0199,https://purl.stanford.edu/qb811cv0199,Fujian sheng
4540802,G7823 .F8 S50 .C51 8528-IV,36105023908374,jh664gq1788,https://purl.stanford.edu/jh664gq1788,Fujian sheng
4540802,G7823 .F8 S50 .C51 8529-I,36105023908291,gr917cc7299,https://purl.stanford.edu/gr917cc7299,Fujian sheng
4540802,G7823 .F8 S50 .C51 8529-II,36105023908309,kq009xf9063,https://purl.stanford.edu/kq009xf9063,Fujian sheng
4540802,G7823 .F8 S50 .C51 8529-III,36105023908317,rj364gn1011,https://purl.stanford.edu/rj364gn1011,Fujian sheng
4540802,G7823 .F8 S50 .C51 8529-IV,36105023908325,cm003pp1393,https://purl.stanford.edu/cm003pp1393,Fujian sheng
4540802,G7823 .F8 S50 .C51 8530-I,36105023908218,sn635gx7334,https://purl.stanford.edu/sn635gx7334,Fujian sheng
4540802,G7823 .F8 S50 .C51 8530-II,36105023908226,bk672ms9366,https://purl.stanford.edu/bk672ms9366,Fujian sheng
