Call_number,Druid,Purl,Title,Symphony_Barcode,Ckey
G7820 S500 .J3 SHEET 16CHI501,sz146yw9149,https://purl.stanford.edu/sz146yw9149,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105118326920,10755228
G7820 S500 .J3 SHEET 16CHI502,df881sw3131,https://purl.stanford.edu/df881sw3131,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105221689313,10755228
G7820 S500 .J3 SHEET 16CHI503,xc400qz5040,https://purl.stanford.edu/xc400qz5040,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105221689321,10755228
G7820 S500 .J3 SHEET 16CHI504,bg608td6074,https://purl.stanford.edu/bg608td6074,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105118326946,10755228
G7820 S500 .J3 SHEET 16TO501,ff235ks9301,https://purl.stanford.edu/ff235ks9301,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105221679090,10755228
G7820 S500 .J3 SHEET 16TO503,kg631sg0568,https://purl.stanford.edu/kg631sg0568,支那五十万分一圖 - Shina gojūmanbun no ichi zu,36105221679108,10755228
