Ckey,Symph_Bar,Call_Num,Label
10158755,36105216194956,G7823 .J85 S200 .J3 SHEET 1,Shinkoku [nij?manbun ichi zu]
10158755,36105216172127,G7823 .J85 S200 .J3 SHEET 2,Shinkoku [nij?manbun ichi zu]
10158755,36105216172135,G7823 .J85 S200 .J3 SHEET 3,Shinkoku [nij?manbun ichi zu]
10158755,36105216172143,G7823 .J85 S200 .J3 SHEET 4,Shinkoku [nij?manbun ichi zu]
10158755,36105216172150,G7823 .J85 S200 .J3 SHEET 5,Shinkoku [nij?manbun ichi zu]
10158755,36105216172168,G7823 .J85 S200 .J3 SHEET 6,Shinkoku [nij?manbun ichi zu]
10158755,36105216172176,G7823 .J85 S200 .J3 SHEET 7,Shinkoku [nij?manbun ichi zu]
10158755,36105216172184,G7823 .J85 S200 .J3 SHEET 10,Shinkoku [nij?manbun ichi zu]
10158755,36105216172192,G7823 .J85 S200 .J3 SHEET 12,Shinkoku [nij?manbun ichi zu]
10158755,36105216172200,G7823 .J85 S200 .J3 SHEET 13,Shinkoku [nij?manbun ichi zu]
10158755,36105216172218,G7823 .J85 S200 .J3 SHEET 14,Shinkoku [nij?manbun ichi zu]
10158755,36105216172226,G7823 .J85 S200 .J3 SHEET 15,Shinkoku [nij?manbun ichi zu]
10158755,36105216172234,G7823 .J85 S200 .J3 SHEET 16,Shinkoku [nij?manbun ichi zu]
10158755,36105216172242,G7823 .J85 S200 .J3 SHEET 17,Shinkoku [nij?manbun ichi zu]
10158755,36105216172259,G7823 .J85 S200 .J3 SHEET 18,Shinkoku [nij?manbun ichi zu]
10158755,36105216172267,G7823 .J85 S200 .J3 SHEET 19,Shinkoku [nij?manbun ichi zu]
10158755,36105216172275,G7823 .J85 S200 .J3 SHEET 20,Shinkoku [nij?manbun ichi zu]
10158755,36105216172283,G7823 .J85 S200 .J3 SHEET 21,Shinkoku [nij?manbun ichi zu]
10158755,36105216172291,G7823 .J85 S200 .J3 SHEET 23,Shinkoku [nij?manbun ichi zu]
10158755,36105216172309,G7823 .J85 S200 .J3 SHEET 24,Shinkoku [nij?manbun ichi zu]
10158755,36105216172317,G7823 .J85 S200 .J3 SHEET 25,Shinkoku [nij?manbun ichi zu]
10158755,36105216172325,G7823 .J85 S200 .J3 SHEET 26,Shinkoku [nij?manbun ichi zu]
10158755,36105216172333,G7823 .J85 S200 .J3 SHEET 27,Shinkoku [nij?manbun ichi zu]
10158755,36105216172341,G7823 .J85 S200 .J3 SHEET 28,Shinkoku [nij?manbun ichi zu]
10158755,36105216172358,G7823 .J85 S200 .J3 SHEET 29,Shinkoku [nij?manbun ichi zu]
10158755,36105216172366,G7823 .J85 S200 .J3 SHEET 31,Shinkoku [nij?manbun ichi zu]
10158755,36105216172374,G7823 .J85 S200 .J3 SHEET 32,Shinkoku [nij?manbun ichi zu]
10158755,36105216172382,G7823 .J85 S200 .J3 SHEET 33,Shinkoku [nij?manbun ichi zu]
10158755,36105216172390,G7823 .J85 S200 .J3 SHEET 34,Shinkoku [nij?manbun ichi zu]
10158755,36105216213806,G7823 .J85 S200 .J3 SHEET 35,Shinkoku [nij?manbun ichi zu]
10158755,36105216213814,G7823 .J85 S200 .J3 SHEET 36,Shinkoku [nij?manbun ichi zu]
10158755,36105216213822,G7823 .J85 S200 .J3 SHEET 38,Shinkoku [nij?manbun ichi zu]
10158755,36105216213830,G7823 .J85 S200 .J3 SHEET 39,Shinkoku [nij?manbun ichi zu]
10158755,36105216213848,G7823 .J85 S200 .J3 SHEET 40,Shinkoku [nij?manbun ichi zu]
10158755,36105216213855,G7823 .J85 S200 .J3 SHEET 41,Shinkoku [nij?manbun ichi zu]
10158755,36105216213863,G7823 .J85 S200 .J3 SHEET 42,Shinkoku [nij?manbun ichi zu]
10158755,36105216213871,G7823 .J85 S200 .J3 SHEET 43,Shinkoku [nij?manbun ichi zu]
10158755,36105216213889,G7823 .J85 S200 .J3 SHEET 44,Shinkoku [nij?manbun ichi zu]
