Ckey,Symph_Bar,Call_Num,Label
10645343,36105221644797,G7964 .T7 1937 .J3 SHEET 3,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643401,G7964 .T7 1937 .J3 SHEET 5,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643419,G7964 .T7 1937 .J3 SHEET 15,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643427,G7964 .T7 1937 .J3 SHEET 20,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643435,G7964 .T7 1937 .J3 SHEET 24,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643443,G7964 .T7 1937 .J3 SHEET 27,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643450,G7964 .T7 1937 .J3 SHEET 28,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643468,G7964 .T7 1937 .J3 SHEET 35,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643476,G7964 .T7 1937 .J3 SHEET 44,Ichimanbun no ichi chikeizu T?ky? kinb?
10645343,36105221643484,G7964 .T7 1937 .J3 SHEET 52,Ichimanbun no ichi chikeizu T?ky? kinb?
