Ckey,Call_Num,Symph_Bar,Druid,Purl,Title
3018247,G5570 1895 .M6 SHEET1,36105216282132,jd142rv7011,https://purl.stanford.edu/jd142rv7011,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET2,36105216282140,xf933bm8909,https://purl.stanford.edu/xf933bm8909,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET3,36105216282157,tz850mh4471,https://purl.stanford.edu/tz850mh4471,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET4,36105216282165,hn195nx8612,https://purl.stanford.edu/hn195nx8612,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET5,36105216282173,sg016vk6537,https://purl.stanford.edu/sg016vk6537,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET6,36105216282181,qv624vy7639,https://purl.stanford.edu/qv624vy7639,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET7,36105216282199,hg685wm0128,https://purl.stanford.edu/hg685wm0128,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET8,36105216287602,vx772mt0825,https://purl.stanford.edu/vx772mt0825,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET9,36105216287610,kz055dn8099,https://purl.stanford.edu/kz055dn8099,"[Minas Geraes 1:100,000]"
3018247,G5570 1895 .M6 SHEET10,36105216287628,fs078xq0488,https://purl.stanford.edu/fs078xq0488,"[Minas Geraes 1:100,000]"
