Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
2922827,dx439jh7502,"Fontana, San Bernardino, Co., Calif., Nov. 1926.",https://purl.stanford.edu/dx439jh7502,36105121224245,G4364 .F679 1926 .S3 SHEET1
2922827,rg127xm6466,"Fontana, San Bernardino, Co., Calif., Nov. 1926.",https://purl.stanford.edu/rg127xm6466,36105121224252,G4364 .F679 1926 .S3 SHEET2
2922827,yn855qy9198,"Fontana, San Bernardino, Co., Calif., Nov. 1926.",https://purl.stanford.edu/yn855qy9198,36105121224260,G4364 .F679 1926 .S3 SHEET3
2922827,kr661mg9110,"Fontana, San Bernardino, Co., Calif., Nov. 1926.",https://purl.stanford.edu/kr661mg9110,36105121224278,G4364 .F679 1926 .S3 SHEET4
2922827,gs755zz0579,"Fontana, San Bernardino, Co., Calif., Nov. 1926.",https://purl.stanford.edu/gs755zz0579,36105022497684,G4364 .F679 1926 .S3 SHEET5
