Ckey,Call_Num,Druid,Purl,Label,Symph_Bar
10425346,G7960 S200 .J3 SHEET 28-28,sm367ch5560,https://purl.stanford.edu/sm367ch5560,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 28-34,my651rm2798,https://purl.stanford.edu/my651rm2798,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 28-35,yy484hw1899,https://purl.stanford.edu/yy484hw1899,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 29-36,ms117pp8704,https://purl.stanford.edu/ms117pp8704,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 29-37,xy377th4304,https://purl.stanford.edu/xy377th4304,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 30-37,pq962yn1263,https://purl.stanford.edu/pq962yn1263,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 31-38,kn351fj8917,https://purl.stanford.edu/kn351fj8917,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 32-40,tp897wh3006,https://purl.stanford.edu/tp897wh3006,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 33-39,rg358ws7626,https://purl.stanford.edu/rg358ws7626,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 33-40.41,xq007cb0633,https://purl.stanford.edu/xq007cb0633,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 34-39,zn104rd0088,https://purl.stanford.edu/zn104rd0088,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 35-39,dg505hr7064,https://purl.stanford.edu/dg505hr7064,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 36-41,bp242wh1200,https://purl.stanford.edu/bp242wh1200,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 36-42,cz764vn2691,https://purl.stanford.edu/cz764vn2691,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 36-43,pz609kz0407,https://purl.stanford.edu/pz609kz0407,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 36-44,dz973wy0714,https://purl.stanford.edu/dz973wy0714,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-40,zp130vj2764,https://purl.stanford.edu/zp130vj2764,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-41,fh518sf6996,https://purl.stanford.edu/fh518sf6996,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-42,qm662px5637,https://purl.stanford.edu/qm662px5637,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-43,xq354gd9272,https://purl.stanford.edu/xq354gd9272,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-44,vj632pr8714,https://purl.stanford.edu/vj632pr8714,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 37-45,fq079yp2287,https://purl.stanford.edu/fq079yp2287,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 38-42,qd183kc2556,https://purl.stanford.edu/qd183kc2556,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
10425346,G7960 S200 .J3 SHEET 38-43,qz600fz0089,https://purl.stanford.edu/qz600fz0089,???????? - Nij?manbun no ichi teikokuzu,3.61052E+13
