Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
2923536,sn823pq3450,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/sn823pq3450,36105121207307,G4364 .L26 1927 .S3 SHEET1
2923536,rz145yp7327,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/rz145yp7327,36105121207356,G4364 .L26 1927 .S3 SHEET2
2923536,nk263vw9549,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/nk263vw9549,36105121207349,G4364 .L26 1927 .S3 SHEET3
2923536,xh537dd8213,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/xh537dd8213,36105121207331,G4364 .L26 1927 .S3 SHEET4
2923536,vw526rn5630,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/vw526rn5630,36105121207323,G4364 .L26 1927 .S3 SHEET5
2923536,sy703cn9920,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/sy703cn9920,36105121207315,G4364 .L26 1927 .S3 SHEET6
2923536,vr441nq0732,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/vr441nq0732,36105121207380,G4364 .L26 1927 .S3 SHEET7
2923536,nk502kt5292,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/nk502kt5292,36105121207372,G4364 .L26 1927 .S3 SHEET8
2923536,rs199wm1927,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/rs199wm1927,36105121207364,G4364 .L26 1927 .S3 SHEET9
2923536,cv775cd5309,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/cv775cd5309,36105121207414,G4364 .L26 1927 .S3 SHEET10
2923536,cm724fm3443,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/cm724fm3443,36105121207406,G4364 .L26 1927 .S3 SHEET11
2923536,gh463pm0697,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/gh463pm0697,36105121207398,G4364 .L26 1927 .S3 SHEET12
2923536,qs961hy3266,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/qs961hy3266,36105121207448,G4364 .L26 1927 .S3 SHEET13
2923536,nd068st5356,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/nd068st5356,36105121207430,G4364 .L26 1927 .S3 SHEET14
2923536,qs249qz5360,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/qs249qz5360,36105121207422,G4364 .L26 1927 .S3 SHEET15
2923536,pt118rt3933,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/pt118rt3933,36105121207471,G4364 .L26 1927 .S3 SHEET16
2923536,vc356kb5165,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/vc356kb5165,36105121207463,G4364 .L26 1927 .S3 SHEET17
2923536,pm049sr3335,"Lankershim Distr. of Los Angeles city, Los Angeles Co., Cal., Mar. 1927.",https://purl.stanford.edu/pm049sr3335,36105121207455,G4364 .L26 1927 .S3 SHEET18
