Ckey,Symph_Bar,Call_Num,Label
8215943,36105216339262,G8160 S100 .J3 7RO/149,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339270,G8160 S100 .J3 7RO/156,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339288,G8160 S100 .J3 7RO/158,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339296,G8160 S100 .J3 7RO/159,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339304,G8160 S100 .J3 7RO/168,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339312,G8160 S100 .J3 7RO/174,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339320,G8160 S100 .J3 7RO/175,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186996,G8160 S100 .J3 7RO/177,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187002,G8160 S100 .J3 7RO/178,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187010,G8160 S100 .J3 7RO/179,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187028,G8160 S100 .J3 7RO/184,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187036,G8160 S100 .J3 7RO/185,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187044,G8160 S100 .J3 7RO/186,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187051,G8160 S100 .J3 7RO/187,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187069,G8160 S100 .J3 7RO/188,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131187077,G8160 S100 .J3 7RO/193,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186848,G8160 S100 .J3 7RO/194,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186855,G8160 S100 .J3 7RO/197,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186863,G8160 S100 .J3 7RO/198,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186871,G8160 S100 .J3 7RO/199,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186814,G8160 S100 .J3 8I/140,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186608,G8160 S100 .J3 8I/150,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186624,G8160 S100 .J3 8I/160,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105131186632,G8160 S100 .J3 8I/169,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
8215943,36105216339411,G8160 S100 .J3 8I/170,K?ch? shashin sokuzu y?zu T?bu Papua j?manbun no ichi 
