Ckey,Symph_Bar,Call_Num,Label
10468989,36105221048544,G8025 S50 .J3 64-1,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052819,G8025 S50 .J3 64-2,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052827,G8025 S50 .J3 67-3,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052835,G8025 S50 .J3 67-4,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052843,G8025 S50 .J3 67-7,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052850,G8025 S50 .J3 69-1,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052868,G8025 S50 .J3 69-2,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052876,G8025 S50 .J3 70-3,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
10468989,36105221052884,G8025 S50 .J3 70-6,Y?zu (K?ch? Shashin Sokury?zu) Taikoku Gomanbunnoichi Zu.
