Ckey,Symph_Bar,Call_Num,Label
9585328,36105216330162,G7900 S50 .J35 AA-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320551,G7900 S50 .J35 AAA-5,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320569,G7900 S50 .J35 AAA-6,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320577,G7900 S50 .J35 AAA-7,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320585,G7900 S50 .J35 AAA-14,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320593,G7900 S50 .J35 ABB-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320601,G7900 S50 .J35 ABB-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320619,G7900 S50 .J35 ACC-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320627,G7900 S50 .J35 ACC-4,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318373,G7900 S50 .J35 AD-8,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318449,G7900 S50 .J35 AD-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320635,G7900 S50 .J35 ADD-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320643,G7900 S50 .J35 ADD-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320650,G7900 S50 .J35 ADD-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320668,G7900 S50 .J35 ADD-4,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320676,G7900 S50 .J35 ADD-12,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320684,G7900 S50 .J35 ADD-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318456,G7900 S50 .J35 AE-5,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318464,G7900 S50 .J35 AE-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318472,G7900 S50 .J35 AE-10,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318480,G7900 S50 .J35 AE-11,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318498,G7900 S50 .J35 AE-11A,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318506,G7900 S50 .J35 AE-12,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318514,G7900 S50 .J35 AE-13,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318522,G7900 S50 .J35 AE-14,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318530,G7900 S50 .J35 AE-15,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318548,G7900 S50 .J35 AE-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320692,G7900 S50 .J35 AEE-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320700,G7900 S50 .J35 AEE-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320718,G7900 S50 .J35 AEE-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320726,G7900 S50 .J35 AEE-4,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320734,G7900 S50 .J35 AEE-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320742,G7900 S50 .J35 AEE-10,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320759,G7900 S50 .J35 AEE-11,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320767,G7900 S50 .J35 AEE-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318555,G7900 S50 .J35 AF-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318563,G7900 S50 .J35 AF-13,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318571,G7900 S50 .J35 AF-14,"??????????: 1:50,000 Topo of Korea"
9585328,36105216320775,G7900 S50 .J35 AFF-5,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318589,G7900 S50 .J35 AI-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318597,G7900 S50 .J35 AI-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318605,G7900 S50 .J35 AI-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318613,G7900 S50 .J35 AI-4,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318621,G7900 S50 .J35 AI-6,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318639,G7900 S50 .J35 AI-8,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318647,G7900 S50 .J35 AI-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318654,G7900 S50 .J35 AI-10,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318662,G7900 S50 .J35 AI-11,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318670,G7900 S50 .J35 AI-12,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318688,G7900 S50 .J35 AI-13,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318696,G7900 S50 .J35 AI-15,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318704,G7900 S50 .J35 AI-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318712,G7900 S50 .J35 AJ-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318720,G7900 S50 .J35 AJ-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318738,G7900 S50 .J35 AJ-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318746,G7900 S50 .J35 AJ-4,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318753,G7900 S50 .J35 AJ-5,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318761,G7900 S50 .J35 AJ-6,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318779,G7900 S50 .J35 AJ-7,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318787,G7900 S50 .J35 AJ-8,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318795,G7900 S50 .J35 AJ-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318803,G7900 S50 .J35 AJ-10,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318811,G7900 S50 .J35 AJ-11,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318829,G7900 S50 .J35 AJ-12,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318837,G7900 S50 .J35 AJ-13,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318845,G7900 S50 .J35 AJ-14,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318852,G7900 S50 .J35 AJ-15,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318860,G7900 S50 .J35 AJ-16,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318878,G7900 S50 .J35 AK-1,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318886,G7900 S50 .J35 AK-2,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318894,G7900 S50 .J35 AK-3,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318902,G7900 S50 .J35 AK-5,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318910,G7900 S50 .J35 AK-6,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318928,G7900 S50 .J35 AK-7,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318936,G7900 S50 .J35 AK-9,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318944,G7900 S50 .J35 AK-10,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318951,G7900 S50 .J35 AK-11,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318969,G7900 S50 .J35 AK-12,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318977,G7900 S50 .J35 AK-13,"??????????: 1:50,000 Topo of Korea"
9585328,36105216318985,G7900 S50 .J35 AK-14,"??????????: 1:50,000 Topo of Korea"
