Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G7910 S25 .J3 B-22,xf361hb3216,https://purl.stanford.edu/xf361hb3216,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654317,10716764
G7910 S25 .J3 B-22 PROV.,dy043nz9313,https://purl.stanford.edu/dy043nz9313,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654325,10716764
G7910 S25 .J3 B-23 PROV.,rr563kz7335,https://purl.stanford.edu/rr563kz7335,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654333,10716764
G7910 S25 .J3 B-24,fr505km5584,https://purl.stanford.edu/fr505km5584,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654341,10716764
G7910 S25 .J3 C-1 PROV.,tq278sn8621,https://purl.stanford.edu/tq278sn8621,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654358,10716764
G7910 S25 .J3 C-2 PROV.,qt379vw8662,https://purl.stanford.edu/qt379vw8662,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654366,10716764
G7910 S25 .J3 C-3,fd289yw7419,https://purl.stanford.edu/fd289yw7419,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654374,10716764
G7910 S25 .J3 C-4,gs674vb2212,https://purl.stanford.edu/gs674vb2212,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654382,10716764
G7910 S25 .J3 C-4 PROV.,gq948tj7516,https://purl.stanford.edu/gq948tj7516,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654390,10716764
G7910 S25 .J3 C-5 PROV.,vs366cf1271,https://purl.stanford.edu/vs366cf1271,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654408,10716764
G7910 S25 .J3 C-6 PROV.,jj498gp3506,https://purl.stanford.edu/jj498gp3506,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654416,10716764
G7910 S25 .J3 C-7 PROV.,yn089kr9223,https://purl.stanford.edu/yn089kr9223,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654424,10716764
G7910 S25 .J3 C-8 PROV.,pp407tk4473,https://purl.stanford.edu/pp407tk4473,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654432,10716764
