Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
2922791,sx002vp8386,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/sx002vp8386,36105121223197,G4364 .E25 1929 .S3 SHEET1
2922791,by207wm5969,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/by207wm5969,36105121223189,G4364 .E25 1929 .S3 SHEET2
2922791,xm962ry5231,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/xm962ry5231,36105121223171,G4364 .E25 1929 .S3 SHEET3
2922791,gt734qd8588,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/gt734qd8588,36105121223163,G4364 .E25 1929 .S3 SHEET4
2922791,zh454sv5447,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/zh454sv5447,36105121223155,G4364 .E25 1929 .S3 SHEET5
2922791,nx856tk4571,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/nx856tk4571,36105121223148,G4364 .E25 1929 .S3 SHEET6
2922791,fb902cx0556,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/fb902cx0556,36105121223130,G4364 .E25 1929 .S3 SHEET7
2922791,zd976nt1602,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/zd976nt1602,36105121223122,G4364 .E25 1929 .S3 SHEET8
2922791,zr323nw7420,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/zr323nw7420,36105121223114,G4364 .E25 1929 .S3 SHEET9
2922791,mb341fg5910,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/mb341fg5910,36105121223106,G4364 .E25 1929 .S3 SHEET10
2922791,rs819pt2351,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/rs819pt2351,36105121223098,G4364 .E25 1929 .S3 SHEET11
2922791,nz352ff9116,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/nz352ff9116,36105121223080,G4364 .E25 1929 .S3 SHEET12
2922791,km579zx6364,"El Cajon, San Diego Co., Cal., May 1929.",https://purl.stanford.edu/km579zx6364,36105022497825,G4364 .E25 1929 .S3 SHEET13
