Ckey,Symph_Bar,Call_Num,Label
10557550,36105221065621,G8132 .H3 S100 .J3 11I-124,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
10557550,36105221066678,G8132 .H3 S100 .J3 11I-134,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
10557550,36105221066686,G8132 .H3 S100 .J3 11I-148,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
10557550,36105221066694,G8132 .H3 S100 .J3 11I-149,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
10557550,36105221066702,G8132 .H3 S100 .J3 11I-157,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
10557550,36105221066710,G8132 .H3 S100 .J3 11I-158,K?ch? shashin sokuzu y?zu Harumaherat? j?manbun no ichi 
