Druid,Purl,Title,Ckey,Symph_Bar,Call_Num
ms922cv4189,https://purl.stanford.edu/ms922cv4189,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593959,G4032 .C6D1 S100 .U5 MAP A1
cw350sp4577,https://purl.stanford.edu/cw350sp4577,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593777,G4032 .C6D1 S100 .U5 MAP A10
yb673tp3421,https://purl.stanford.edu/yb673tp3421,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593769,G4032 .C6D1 S100 .U5 MAP A11
wn963qb2148,https://purl.stanford.edu/wn963qb2148,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593751,G4032 .C6D1 S100 .U5 MAP A12
dx413qs1829,https://purl.stanford.edu/dx413qs1829,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593744,G4032 .C6D1 S100 .U5 MAP A13
my640fv3837,https://purl.stanford.edu/my640fv3837,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593736,G4032 .C6D1 S100 .U5 MAP A14
xd452tp9869,https://purl.stanford.edu/xd452tp9869,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593710,G4032 .C6D1 S100 .U5 MAP A15
bg858gr7451,https://purl.stanford.edu/bg858gr7451,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593728,G4032 .C6D1 S100 .U5 MAP A16
nd295nh4591,https://purl.stanford.edu/nd295nh4591,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593942,G4032 .C6D1 S100 .U5 MAP A2
yp490zs0520,https://purl.stanford.edu/yp490zs0520,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593835,G4032 .C6D1 S100 .U5 MAP A3
zv533zy8944,https://purl.stanford.edu/zv533zy8944,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593827,G4032 .C6D1 S100 .U5 MAP A4
hm907jn2992,https://purl.stanford.edu/hm907jn2992,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593819,G4032 .C6D1 S100 .U5 MAP A5
hc498xd0534,https://purl.stanford.edu/hc498xd0534,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593801,G4032 .C6D1 S100 .U5 MAP A6
tp683nw0182,https://purl.stanford.edu/tp683nw0182,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593793,G4032 .C6D1 S100 .U5 MAP A7
sh448gj6117,https://purl.stanford.edu/sh448gj6117,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593934,G4032 .C6D1 S100 .U5 MAP A8
sh094jr2148,https://purl.stanford.edu/sh094jr2148,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593785,G4032 .C6D1 S100 .U5 MAP A9
