Ckey,Symph_Bar,Call_Num,Label
9585363,36105216330170,G7900 S50 .J3 BD-10,"Chosen 1:50,000 Chikeizu"
9585363,36105216320783,G7900 S50 .J3 BE-1,"Chosen 1:50,000 Chikeizu"
9585363,36105216320791,G7900 S50 .J3 BE-2,"Chosen 1:50,000 Chikeizu"
9585363,36105216320809,G7900 S50 .J3 BE-5,"Chosen 1:50,000 Chikeizu"
9585363,36105216320817,G7900 S50 .J3 BE-6,"Chosen 1:50,000 Chikeizu"
9585363,36105216320825,G7900 S50 .J3 BE-7,"Chosen 1:50,000 Chikeizu"
9585363,36105216320833,G7900 S50 .J3 BE-13,"Chosen 1:50,000 Chikeizu"
9585363,36105216320957,G7900 S50 .J3 BF-1,"Chosen 1:50,000 Chikeizu"
9585363,36105216320940,G7900 S50 .J3 BF-5,"Chosen 1:50,000 Chikeizu"
9585363,36105216320932,G7900 S50 .J3 BF-6,"Chosen 1:50,000 Chikeizu"
9585363,36105216320924,G7900 S50 .J3 BF-7,"Chosen 1:50,000 Chikeizu"
9585363,36105216320916,G7900 S50 .J3 BF-8,"Chosen 1:50,000 Chikeizu"
9585363,36105216320908,G7900 S50 .J3 BF-9,"Chosen 1:50,000 Chikeizu"
9585363,36105216320890,G7900 S50 .J3 BF-10,"Chosen 1:50,000 Chikeizu"
9585363,36105216320882,G7900 S50 .J3 BF-11,"Chosen 1:50,000 Chikeizu"
9585363,36105216320874,G7900 S50 .J3 BF-12,"Chosen 1:50,000 Chikeizu"
9585363,36105216320866,G7900 S50 .J3 BF-13,"Chosen 1:50,000 Chikeizu"
9585363,36105216320858,G7900 S50 .J3 BF-14,"Chosen 1:50,000 Chikeizu"
9585363,36105216320841,G7900 S50 .J3 BF-15,"Chosen 1:50,000 Chikeizu"
9585363,36105216320965,G7900 S50 .J3 BF-16,"Chosen 1:50,000 Chikeizu"
9585363,36105216320973,G7900 S50 .J3 BG-13,"Chosen 1:50,000 Chikeizu"
9585363,36105216320981,G7900 S50 .J3 BI-1,"Chosen 1:50,000 Chikeizu"
9585363,36105216320999,G7900 S50 .J3 BI-2,"Chosen 1:50,000 Chikeizu"
9585363,36105216321005,G7900 S50 .J3 BI-3,"Chosen 1:50,000 Chikeizu"
9585363,36105216321013,G7900 S50 .J3 BI-8,"Chosen 1:50,000 Chikeizu"
9585363,36105216321021,G7900 S50 .J3 BI-12,"Chosen 1:50,000 Chikeizu"
9585363,36105216321039,G7900 S50 .J3 BI-16,"Chosen 1:50,000 Chikeizu"
9585363,36105216321047,G7900 S50 .J3 BJ-1,"Chosen 1:50,000 Chikeizu"
9585363,36105216321054,G7900 S50 .J3 BJ-2,"Chosen 1:50,000 Chikeizu"
9585363,36105216321062,G7900 S50 .J3 BJ-3,"Chosen 1:50,000 Chikeizu"
9585363,36105216321070,G7900 S50 .J3 BJ-4,"Chosen 1:50,000 Chikeizu"
9585363,36105216321088,G7900 S50 .J3 BJ-5,"Chosen 1:50,000 Chikeizu"
9585363,36105216321096,G7900 S50 .J3 BJ-6,"Chosen 1:50,000 Chikeizu"
9585363,36105216321104,G7900 S50 .J3 BJ-7,"Chosen 1:50,000 Chikeizu"
9585363,36105216321112,G7900 S50 .J3 BJ-8,"Chosen 1:50,000 Chikeizu"
9585363,36105216321120,G7900 S50 .J3 BJ-9,"Chosen 1:50,000 Chikeizu"
9585363,36105216321138,G7900 S50 .J3 BJ-10,"Chosen 1:50,000 Chikeizu"
