Ckey,Call_Num,Symph_Bar,Druid,Purl,Title
2849301,G8250 S200 .G41 SHEET 1,36105128118291,js756hc0573,https://purl.stanford.edu/js756hc0573,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 2,36105028404221,rf773bj9886,https://purl.stanford.edu/rf773bj9886,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 3,36105028404205,pp865xx1013,https://purl.stanford.edu/pp865xx1013,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 5,36105028404262,tn726wf8886,https://purl.stanford.edu/tn726wf8886,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 6,36105028404270,rk136nr7179,https://purl.stanford.edu/rk136nr7179,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 7,36105028404288,zv746mc0688,https://purl.stanford.edu/zv746mc0688,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 8,36105028404312,zf458wt8290,https://purl.stanford.edu/zf458wt8290,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 9,36105028404049,mf588vz4189,https://purl.stanford.edu/mf588vz4189,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 11,36105028404098,xm037yv5678,https://purl.stanford.edu/xm037yv5678,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 14,36105028404114,zd725rx8739,https://purl.stanford.edu/zd725rx8739,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 15,36105028404130,tz066ck6861,https://purl.stanford.edu/tz066ck6861,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 16,36105028404155,tc500qx6681,https://purl.stanford.edu/tc500qx6681,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 17,36105028404148,jz169ry9815,https://purl.stanford.edu/jz169ry9815,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 18,36105028404163,xn605hh5794,https://purl.stanford.edu/xn605hh5794,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 19,36105028404171,kw209wb4342,https://purl.stanford.edu/kw209wb4342,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 21,36105028404593,jq533gb6728,https://purl.stanford.edu/jq533gb6728,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 22,36105028404619,ps494qg9427,https://purl.stanford.edu/ps494qg9427,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 23,36105028404627,mt488vm0695,https://purl.stanford.edu/mt488vm0695,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 24,36105028404643,tc132ws4911,https://purl.stanford.edu/tc132ws4911,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 26,36105028404684,cx879dn7569,https://purl.stanford.edu/cx879dn7569,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 27,36105028404676,rg795vc1935,https://purl.stanford.edu/rg795vc1935,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 28,36105028404668,vp229yr6865,https://purl.stanford.edu/vp229yr6865,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 29,36105028404445,dx811th7534,https://purl.stanford.edu/dx811th7534,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 30,36105028404403,cc079vj2859,https://purl.stanford.edu/cc079vj2859,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 31,36105028404411,br648mf5982,https://purl.stanford.edu/br648mf5982,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 32,36105028404510,vd192wt5821,https://purl.stanford.edu/vd192wt5821,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 33,36105028404528,cp565mg2635,https://purl.stanford.edu/cp565mg2635,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 34,36105028404569,nm422bw8863,https://purl.stanford.edu/nm422bw8863,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 35,36105028404551,fs842hc4757,https://purl.stanford.edu/fs842hc4757,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 36,36105028404585,sn681hj0125,https://purl.stanford.edu/sn681hj0125,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 37,36105028404577,qv010jr1218,https://purl.stanford.edu/qv010jr1218,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 38,36105028404452,dq884kq0028,https://purl.stanford.edu/dq884kq0028,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 39,36105028404478,qf787rg1408,https://purl.stanford.edu/qf787rg1408,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 40,36105028404460,bz216hk8174,https://purl.stanford.edu/bz216hk8174,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 42,36105028404486,dy798sb4971,https://purl.stanford.edu/dy798sb4971,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 43,36105028404502,cr745fr3964,https://purl.stanford.edu/cr745fr3964,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 44,36105028404494,rp948nh4131,https://purl.stanford.edu/rp948nh4131,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 45,36105028404320,yh407vv8840,https://purl.stanford.edu/yh407vv8840,"Sonderausgabe Algerien und Tunis 1:200,000"
2849301,G8250 S200 .G41 SHEET 46,36105028404338,qd378kv1924,https://purl.stanford.edu/qd378kv1924,"Sonderausgabe Algerien und Tunis 1:200,000"
