Ckey,Symph_Bar,Call_Num,Label
9687203,36105216341128,G8060 S100 .J3 11-HA-167,Firippin j?manbun no ichi zu
9687203,36105216342811,G8060 S100 .J3 11-HA-171,Firippin j?manbun no ichi zu
9687203,36105216342829,G8060 S100 .J3 11-HA-172,Firippin j?manbun no ichi zu
9687203,36105216342837,G8060 S100 .J3 11-HA-174,Firippin j?manbun no ichi zu
9687203,36105216342845,G8060 S100 .J3 11-HA-175,Firippin j?manbun no ichi zu
9687203,36105216342852,G8060 S100 .J3 11-HA-176,Firippin j?manbun no ichi zu
9687203,36105216342860,G8060 S100 .J3 11-HA-177,Firippin j?manbun no ichi zu
9687203,36105216342936,G8060 S100 .J3 11-HA-181,Firippin j?manbun no ichi zu
9687203,36105216342944,G8060 S100 .J3 11-HA-182,Firippin j?manbun no ichi zu
9687203,36105216342951,G8060 S100 .J3 11-HA-184,Firippin j?manbun no ichi zu
9687203,36105216342969,G8060 S100 .J3 11-HA-185,Firippin j?manbun no ichi zu
9687203,36105216343058,G8060 S100 .J3 11-HA-191,Firippin j?manbun no ichi zu
9687203,36105216343066,G8060 S100 .J3 11-HA-192,Firippin j?manbun no ichi zu
9687203,36105216342878,G8060 S100 .J3 11-NI-184,Firippin j?manbun no ichi zu
9687203,36105216342886,G8060 S100 .J3 11-NI-186,Firippin j?manbun no ichi zu
9687203,36105216342894,G8060 S100 .J3 11-NI-187,Firippin j?manbun no ichi zu
9687203,36105216342902,G8060 S100 .J3 11-NI-188,Firippin j?manbun no ichi zu
9687203,36105216342910,G8060 S100 .J3 11-NI-189,Firippin j?manbun no ichi zu
9687203,36105216342928,G8060 S100 .J3 11-NI-190,Firippin j?manbun no ichi zu
9687203,36105216342977,G8060 S100 .J3 11-NI-193,Firippin j?manbun no ichi zu
9687203,36105216342985,G8060 S100 .J3 11-NI-194,Firippin j?manbun no ichi zu
9687203,36105216342993,G8060 S100 .J3 11-NI-195,Firippin j?manbun no ichi zu
9687203,36105216343009,G8060 S100 .J3 11-NI-196,Firippin j?manbun no ichi zu
9687203,36105216343017,G8060 S100 .J3 11-NI-197,Firippin j?manbun no ichi zu
9687203,36105216343025,G8060 S100 .J3 11-NI-198,Firippin j?manbun no ichi zu
9687203,36105216343033,G8060 S100 .J3 11-NI-199,Firippin j?manbun no ichi zu
9687203,36105216343041,G8060 S100 .J3 11-NI-200,Firippin j?manbun no ichi zu
9687203,36105216343074,G8060 S100 .J3 12-NI-103,Firippin j?manbun no ichi zu
9687203,36105216343082,G8060 S100 .J3 12-NI-104,Firippin j?manbun no ichi zu
9687203,36105216343090,G8060 S100 .J3 12-NI-105,Firippin j?manbun no ichi zu
9687203,36105216343108,G8060 S100 .J3 12-NI-107,Firippin j?manbun no ichi zu
9687203,36105216343116,G8060 S100 .J3 12-NI-108,Firippin j?manbun no ichi zu
9687203,36105216343124,G8060 S100 .J3 12-NI-110,Firippin j?manbun no ichi zu
9687203,36105216343132,G8060 S100 .J3 12-NI-113,Firippin j?manbun no ichi zu
9687203,36105216343140,G8060 S100 .J3 12-NI-114,Firippin j?manbun no ichi zu
9687203,36105216343157,G8060 S100 .J3 12-NI-162,Firippin j?manbun no ichi zu
9687203,36105216343165,G8060 S100 .J3 12-NI-163,Firippin j?manbun no ichi zu
9687203,36105216343173,G8060 S100 .J3 12-NI-171,Firippin j?manbun no ichi zu
9687203,36105216343181,G8060 S100 .J3 12-NI-172,Firippin j?manbun no ichi zu
9687203,36105216343199,G8060 S100 .J3 12-NI-173,Firippin j?manbun no ichi zu
9687203,36105216343207,G8060 S100 .J3 12-NI-174,Firippin j?manbun no ichi zu
9687203,36105216343215,G8060 S100 .J3 12-NI-175,Firippin j?manbun no ichi zu
9687203,36105216343223,G8060 S100 .J3 12-NI-181,Firippin j?manbun no ichi zu
9687203,36105216343231,G8060 S100 .J3 12-NI-182,Firippin j?manbun no ichi zu
9687203,36105216343249,G8060 S100 .J3 12-NI-183,Firippin j?manbun no ichi zu
