Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
2926203,gg360yj0201,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/gg360yj0201,36105121211176,G4364 .W31 1926 .S31 SHEET1
2926203,bz568pd6643,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/bz568pd6643,36105121211168,G4364 .W31 1926 .S31 SHEET2
2926203,xy001xq0575,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/xy001xq0575,36105121211150,G4364 .W31 1926 .S31 SHEET3
2926203,sp701xd7092,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/sp701xd7092,36105121211143,G4364 .W31 1926 .S31 SHEET4
2926203,qd722cd3336,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/qd722cd3336,36105121211135,G4364 .W31 1926 .S31 SHEET5
2926203,vt234sf4837,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/vt234sf4837,36105121211127,G4364 .W31 1926 .S31 SHEET6
2926203,mh393sx2781,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/mh393sx2781,36105121211119,G4364 .W31 1926 .S31 SHEET7
2926203,sw712df3712,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/sw712df3712,36105121211085,G4364 .W31 1926 .S31 SHEET8
2926203,hc715td1940,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/hc715td1940,36105121211093,G4364 .W31 1926 .S31 SHEET9
2926203,nn116tk0828,"Wasco, Kern Co., Calif., Sept. 1926.",https://purl.stanford.edu/nn116tk0828,36105121211101,G4364 .W31 1926 .S31 SHEET10
