Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
3743757,mr800bb0234,"Fillmore, Ventura County, California.",https://purl.stanford.edu/mr800bb0234,36105018889571,G4364 .F5 1929 .S3 SHEET 1
3743757,tg393vk4913,"Fillmore, Ventura County, California.",https://purl.stanford.edu/tg393vk4913,36105022460674,G4364 .F5 1929 .S3 SHEET 2
3743757,rk374cz7818,"Fillmore, Ventura County, California.",https://purl.stanford.edu/rk374cz7818,36105022460682,G4364 .F5 1929 .S3 SHEET 3
3743757,nm089bh8094,"Fillmore, Ventura County, California.",https://purl.stanford.edu/nm089bh8094,36105022460690,G4364 .F5 1929 .S3 SHEET 4
3743757,dh601xs2417,"Fillmore, Ventura County, California.",https://purl.stanford.edu/dh601xs2417,36105022460708,G4364 .F5 1929 .S3 SHEET 5
3743757,qn059tb2541,"Fillmore, Ventura County, California.",https://purl.stanford.edu/qn059tb2541,36105022460716,G4364 .F5 1929 .S3 SHEET 6
3743757,xx751vd8768,"Fillmore, Ventura County, California.",https://purl.stanford.edu/xx751vd8768,36105022460724,G4364 .F5 1929 .S3 SHEET 7
3743757,nm293gw8616,"Fillmore, Ventura County, California.",https://purl.stanford.edu/nm293gw8616,36105022460732,G4364 .F5 1929 .S3 SHEET 8
3743757,js417wp0555,"Fillmore, Ventura County, California.",https://purl.stanford.edu/js417wp0555,36105022460740,G4364 .F5 1929 .S3 SHEET 9
3743757,yn529wy9153,"Fillmore, Ventura County, California.",https://purl.stanford.edu/yn529wy9153,36105022460757,G4364 .F5 1929 .S3 SHEET 10
3743757,sk248vs4677,"Fillmore, Ventura County, California.",https://purl.stanford.edu/sk248vs4677,36105022460765,G4364 .F5 1929 .S3 SHEET 11
3743757,qf422gp9450,"Fillmore, Ventura County, California.",https://purl.stanford.edu/qf422gp9450,36105022460773,G4364 .F5 1929 .S3 SHEET 12
3743757,nd315xx7305,"Fillmore, Ventura County, California.",https://purl.stanford.edu/nd315xx7305,36105022460781,G4364 .F5 1929 .S3 SHEET 13
3743757,gb042hd8881,"Fillmore, Ventura County, California.",https://purl.stanford.edu/gb042hd8881,36105022460799,G4364 .F5 1929 .S3 SHEET 14
3743757,zx675xj9798,"Fillmore, Ventura County, California.",https://purl.stanford.edu/zx675xj9798,36105022460807,G4364 .F5 1929 .S3 SHEET 15
3743757,yw900fs7437,"Fillmore, Ventura County, California.",https://purl.stanford.edu/yw900fs7437,36105022460815,G4364 .F5 1929 .S3 SHEET 16
3743757,mn138qq9612,"Fillmore, Ventura County, California.",https://purl.stanford.edu/mn138qq9612,36105022460823,G4364 .F5 1929 .S3 SHEET 17
