Ckey,Symph_Bar,Call_Num,Title,Druid,Purl
9938587,36105216600812,G3931 .G1 S100 .U53 MAP B18,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",cs912nn1646,https://purl.stanford.edu/cs912nn1646
9938587,36105216600838,G3931 .G1 S100 .U53 MAP B19,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",tb076bt4619,https://purl.stanford.edu/tb076bt4619
9938587,36105216600846,G3931 .G1 S100 .U53 MAP B20,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",cb589fy4576,https://purl.stanford.edu/cb589fy4576
9938587,36105216600853,G3931 .G1 S100 .U53 MAP B21,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",mr036wv1559,https://purl.stanford.edu/mr036wv1559
9938587,36105216600861,G3931 .G1 S100 .U53 MAP B22,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",xr037fb4293,https://purl.stanford.edu/xr037fb4293
9938587,36105216600879,G3931 .G1 S100 .U53 MAP B23,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",ft673tw4341,https://purl.stanford.edu/ft673tw4341
9938587,36105216600887,G3931 .G1 S100 .U53 MAP B24,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",tg094cr2216,https://purl.stanford.edu/tg094cr2216
9938587,36105216600895,G3931 .G1 S100 .U53 MAP B25,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",mq573ky4168,https://purl.stanford.edu/mq573ky4168
9938587,36105216600903,G3931 .G1 S100 .U53 MAP B26,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",vr526mk6389,https://purl.stanford.edu/vr526mk6389
9938587,36105216600911,G3931 .G1 S100 .U53 MAP B27,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",ym877bm5810,https://purl.stanford.edu/ym877bm5810
9938587,36105216600929,G3931 .G1 S100 .U53 MAP B28,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",qr204zz4979,https://purl.stanford.edu/qr204zz4979
9938587,36105216600937,G3931 .G1 S100 .U53 MAP B29,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",ds575tz7449,https://purl.stanford.edu/ds575tz7449
9938587,36105216600945,G3931 .G1 S100 .U53 MAP B30,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",gh138dg5387,https://purl.stanford.edu/gh138dg5387
9938587,36105216600952,G3931 .G1 S100 .U53 MAP B31,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",mv392px9221,https://purl.stanford.edu/mv392px9221
9938587,36105216600960,G3931 .G1 S100 .U53 MAP B32,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",xk928mm4772,https://purl.stanford.edu/xk928mm4772
9938587,36105216600978,G3931 .G1 S100 .U53 MAP B33,"Florida ecological atlas: socioeconomic features -- Technical Report Archive and Imaging Library (TRAIL) -- Southwestern Florida ecological characterization, an ecological atlas, map narratives",pm741kc4268,https://purl.stanford.edu/pm741kc4268
