Ckey,Call_Num,Symph_Bar,Title,Druid,Purl
9938592,G3931 .C3 S100 .U5 MAP E1,36105216592597,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",wj022mk4283,https://purl.stanford.edu/wj022mk4283
9938592,G3931 .C3 S100 .U5 MAP E10,36105216592506,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sm163dw0798,https://purl.stanford.edu/sm163dw0798
9938592,G3931 .C3 S100 .U5 MAP E11,36105216592498,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",rm973dj6258,https://purl.stanford.edu/rm973dj6258
9938592,G3931 .C3 S100 .U5 MAP E12,36105216592472,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sz120rg1683,https://purl.stanford.edu/sz120rg1683
9938592,G3931 .C3 S100 .U5 MAP E13,36105216592464,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",jn935vw7016,https://purl.stanford.edu/jn935vw7016
9938592,G3931 .C3 S100 .U5 MAP E14,36105216592456,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",dj237kw9225,https://purl.stanford.edu/dj237kw9225
9938592,G3931 .C3 S100 .U5 MAP E15,36105216592449,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sn095ys7292,https://purl.stanford.edu/sn095ys7292
9938592,G3931 .C3 S100 .U5 MAP E16,36105216592431,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",zz278pr9568,https://purl.stanford.edu/zz278pr9568
9938592,G3931 .C3 S100 .U5 MAP E17,36105216592423,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",zs319tp3650,https://purl.stanford.edu/zs319tp3650
9938592,G3931 .C3 S100 .U5 MAP E18,36105216592415,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",fq116kz1932,https://purl.stanford.edu/fq116kz1932
9938592,G3931 .C3 S100 .U5 MAP E2,36105216592589,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",zm430hn8263,https://purl.stanford.edu/zm430hn8263
9938592,G3931 .C3 S100 .U5 MAP E3,36105216592571,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",ny265pf6273,https://purl.stanford.edu/ny265pf6273
9938592,G3931 .C3 S100 .U5 MAP E4,36105216592563,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sn902nt3503,https://purl.stanford.edu/sn902nt3503
9938592,G3931 .C3 S100 .U5 MAP E5,36105216592555,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",bb409kz4236,https://purl.stanford.edu/bb409kz4236
9938592,G3931 .C3 S100 .U5 MAP E6,36105216592548,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",gv107qx7379,https://purl.stanford.edu/gv107qx7379
9938592,G3931 .C3 S100 .U5 MAP E7,36105216592530,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",vw866wn4397,https://purl.stanford.edu/vw866wn4397
9938592,G3931 .C3 S100 .U5 MAP E8,36105216592522,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",kb960cm9753,https://purl.stanford.edu/kb960cm9753
9938592,G3931 .C3 S100 .U5 MAP E9,36105216592514,"Florida ecological atlas: hydrology and climatology -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",xz497wq4118,https://purl.stanford.edu/xz497wq4118
