Ckey,Call_Num,Druid,Purl,Title,Symph_Bar
9440325,G7824 .S2 A1 S25 .J3 EAST 7,zq915jm3221,https://purl.stanford.edu/zq915jm3221,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 EAST 8,pg102kt5952,https://purl.stanford.edu/pg102kt5952,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 1,fz618vy6416,https://purl.stanford.edu/fz618vy6416,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 2,gn617yy1927,https://purl.stanford.edu/gn617yy1927,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 4,wn285sc9367,https://purl.stanford.edu/wn285sc9367,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 5,vb360rq0475,https://purl.stanford.edu/vb360rq0475,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 6,zb719kc5869,https://purl.stanford.edu/zb719kc5869,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 7,qx068zf0175,https://purl.stanford.edu/qx068zf0175,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 8,mm039wr9988,https://purl.stanford.edu/mm039wr9988,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 9,qv309kq9886,https://purl.stanford.edu/qv309kq9886,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 10,zt488qt8007,https://purl.stanford.edu/zt488qt8007,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 11,bj753bd8973,https://purl.stanford.edu/bj753bd8973,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 12,jk685fn0352,https://purl.stanford.edu/jk685fn0352,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 13,wm204gc4837,https://purl.stanford.edu/wm204gc4837,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 14,xn111tv8822,https://purl.stanford.edu/xn111tv8822,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 15,gg288ny8171,https://purl.stanford.edu/gg288ny8171,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 16,py090vv7897,https://purl.stanford.edu/py090vv7897,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 17,qh670fc6860,https://purl.stanford.edu/qh670fc6860,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 18,dk710fx3511,https://purl.stanford.edu/dk710fx3511,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 19,dm630vh6996,https://purl.stanford.edu/dm630vh6996,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 NW 21,xs660zp1185,https://purl.stanford.edu/xs660zp1185,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 1,jp019hy6052,https://purl.stanford.edu/jp019hy6052,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 2,bk603sj4132,https://purl.stanford.edu/bk603sj4132,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 3,nq519zt9023,https://purl.stanford.edu/nq519zt9023,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 4,jk874kw7821,https://purl.stanford.edu/jk874kw7821,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 5,vm984ck5503,https://purl.stanford.edu/vm984ck5503,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 6,qt543pz0285,https://purl.stanford.edu/qt543pz0285,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
9440325,G7824 .S2 A1 S25 .J3 SOUTH 7,nc782qq7741,https://purl.stanford.edu/nc782qq7741,???????????????? - Niman-gosenbun no ichi k?kch? shashin sokuzu Shanhai kinb?,3.61052E+13
